current_credits,total_credits,current_gpa,target_gpa,num_2_credit,num_3_credit,final_gpa
98,120,1.87,2.01,11,0,1.9
67,120,3.58,3.72,17,6,3.8
80,120,3.38,3.41,8,8,3.24
64,120,2.43,3.83,19,6,3.2
112,120,2.9,3.38,4,0,3.01
69,120,3.6,3.79,21,3,3.87
30,120,2.11,3.1,42,2,2.43
72,120,1.57,2.82,18,4,2.28
109,120,1.62,1.93,4,1,1.85
72,120,2.76,3.67,21,2,3.15
73,120,1.52,2.17,16,5,1.73
52,120,1.93,2.59,26,5,2.15
55,120,1.53,1.76,11,14,1.52
71,120,3.46,3.48,5,13,3.53
63,120,2.04,2.75,15,9,2.42
59,120,3.41,3.81,6,16,3.5
82,120,2.4,3.26,8,7,2.97
100,120,3.48,3.68,5,3,3.71
48,120,2.61,3.09,6,20,2.73
38,120,3.45,3.68,14,18,3.76
80,120,2.36,3.64,8,8,3.06
92,120,1.9,3.66,9,3,2.75
74,120,2.83,3.8,14,6,3.51
100,120,3.18,3.36,5,3,3.22
40,120,2.26,3.2,25,10,2.57
87,120,1.88,3.44,12,3,2.7
58,120,2.9,3.73,11,13,3.28
32,120,2.39,2.88,8,24,2.49
87,120,2.2,3.01,10,4,2.66
57,120,3.67,3.85,7,16,3.88
87,120,2.88,3.06,0,11,2.97
112,120,3.41,3.83,4,0,3.64
108,120,3.09,3.41,0,4,3.35
98,120,3.27,3.77,3,5,3.65
83,120,3.61,3.67,0,12,3.61
59,120,3.57,3.81,15,10,3.87
66,120,3.44,3.95,24,2,3.86
60,120,2.54,3.5,4,17,3.15
110,120,2.26,3.07,5,0,2.5
77,120,3.57,3.8,9,8,3.81
78,120,1.93,2.52,6,10,2.39
97,120,2.66,3.41,11,0,3.23
77,120,2.33,2.71,17,3,2.57
111,120,2.05,2.67,4,0,2.41
47,120,3.18,3.25,12,16,3.3
38,120,1.96,3.9,29,8,2.8
55,120,1.63,3.01,17,10,2.45
110,120,2.4,3.13,2,2,2.76
55,120,3.66,3.78,22,7,3.85
40,120,2.26,3.22,26,9,2.67
97,120,3.31,3.78,8,2,3.52
95,120,3.11,3.82,8,3,3.66
69,120,2.66,3.04,24,1,2.69
101,120,2.32,2.75,2,5,2.69
99,120,2.29,3.57,7,2,3.09
106,120,2.0,3.01,4,2,2.39
61,120,2.72,3.21,14,10,2.91
83,120,1.55,3.39,5,9,2.48
36,120,2.61,3.14,34,5,3.0
70,120,1.92,3.39,20,3,2.67
84,120,3.35,3.8,16,1,3.45
65,120,3.2,3.26,3,16,3.29
52,120,1.82,3.74,16,12,2.91
92,120,2.74,3.54,9,3,3.12
91,120,3.77,3.83,14,0,3.83
115,120,2.76,3.82,2,0,3.28
60,120,3.75,3.95,15,10,3.92
98,120,1.94,2.7,5,4,2.51
64,120,1.61,2.58,13,10,1.98
31,120,3.26,3.26,20,16,3.21
44,120,2.47,3.71,0,25,3.03
106,120,1.93,3.36,2,3,2.48
50,120,2.34,3.14,5,20,2.81
63,120,2.85,3.91,9,13,3.23
68,120,3.28,3.32,18,5,3.26
87,120,2.92,3.73,15,1,3.51
33,120,3.39,3.47,15,19,3.59
40,120,2.62,3.85,20,13,3.3
89,120,2.86,3.58,5,7,3.4
89,120,3.7,3.7,3,8,3.56
43,120,1.57,1.86,13,17,1.77
42,120,2.43,2.92,39,0,2.73
84,120,1.63,3.33,10,5,2.37
40,120,1.95,3.85,10,20,2.84
55,120,3.61,3.91,23,6,3.76
41,120,2.8,3.87,0,26,3.2
68,120,1.75,3.49,15,7,2.52
107,120,1.66,2.28,0,4,1.97
37,120,1.66,3.93,14,18,2.76
43,120,3.6,3.62,22,11,3.7
47,120,3.25,3.58,6,20,3.54
41,120,3.68,3.96,32,5,3.63
87,120,3.84,3.87,0,11,3.87
57,120,2.35,3.53,25,4,2.81
84,120,1.78,3.65,16,1,2.68
67,120,3.87,3.94,17,6,3.8
71,120,2.71,3.96,24,0,3.52
89,120,2.75,3.39,12,2,3.04
44,120,2.74,3.02,6,21,3.01
55,120,3.33,3.56,5,18,3.61
39,120,1.93,2.5,34,4,2.26
64,120,2.47,3.02,11,11,2.72
86,120,2.13,2.97,6,7,2.48
114,120,3.66,3.68,3,0,3.55
38,120,2.86,3.44,14,18,3.28
94,120,2.16,2.8,5,5,2.65
100,120,3.65,3.85,2,5,3.76
46,120,3.16,3.86,5,21,3.32
35,120,1.97,3.48,39,2,2.82
41,120,2.26,3.98,9,20,3.05
68,120,1.94,2.12,5,14,1.92
70,120,2.94,3.52,17,5,3.21
41,120,1.97,2.04,39,0,2.18
49,120,2.59,3.2,25,7,2.88
33,120,2.01,3.55,27,11,2.92
34,120,3.35,3.62,19,16,3.35
37,120,2.14,3.66,32,6,2.71
113,120,2.77,3.87,0,2,3.18
62,120,2.07,2.48,23,4,2.16
49,120,2.51,3.14,5,20,2.68
38,120,3.6,3.93,17,16,3.91
91,120,1.79,3.86,7,5,2.7
33,120,3.22,3.95,3,27,3.44
68,120,2.76,3.4,20,4,2.92
103,120,2.69,3.64,4,3,3.26
91,120,1.87,2.39,1,9,2.15
96,120,2.05,2.21,7,3,2.24
41,120,2.56,3.39,0,26,2.83
56,120,2.06,3.71,29,2,2.9
95,120,3.24,3.52,3,6,3.55
96,120,1.69,2.85,6,4,2.37
63,120,2.49,3.55,27,1,3.04
95,120,2.78,3.31,5,5,3.12
77,120,1.75,2.44,11,7,2.18
99,120,3.65,3.8,0,7,3.82
89,120,3.38,3.82,8,5,3.58
34,120,3.83,3.83,8,23,3.72
41,120,2.25,3.33,23,11,2.78
81,120,3.17,3.89,4,10,3.61
99,120,3.63,3.97,0,7,3.77
56,120,2.45,2.81,2,20,2.44
104,120,2.15,3.87,5,2,3.06
99,120,2.82,3.89,6,3,3.37
112,120,3.39,3.66,1,2,3.47
114,120,2.86,3.36,3,0,3.03
102,120,3.4,3.44,9,0,3.42
56,120,3.16,3.56,5,18,3.44
58,120,2.39,2.94,22,6,2.78
50,120,2.28,3.88,11,16,3.13
75,120,3.0,3.8,15,5,3.37
72,120,3.74,3.75,16,5,3.58
59,120,1.77,3.44,27,2,2.8
94,120,2.5,3.78,13,0,2.96
108,120,2.17,3.89,1,3,2.93
43,120,3.04,3.85,23,10,3.28
68,120,2.01,2.59,18,5,2.38
41,120,2.61,3.96,33,4,3.2
88,120,3.27,3.96,2,9,3.51
73,120,3.07,3.84,4,13,3.46
50,120,2.72,3.12,2,22,2.87
64,120,3.19,3.71,19,6,3.46
64,120,3.83,3.99,2,17,4.0
94,120,1.9,2.16,10,2,1.98
93,120,3.79,3.98,4,6,3.82
69,120,2.01,3.6,6,13,2.79
106,120,1.6,3.29,2,3,2.31
52,120,2.4,3.14,28,4,2.81
56,120,3.07,3.91,17,10,3.45
61,120,2.74,3.36,20,6,3.13
30,120,2.78,3.65,45,0,3.21
34,120,3.58,3.93,37,4,3.62
48,120,3.05,3.3,21,10,3.31
39,120,3.37,3.71,9,21,3.42
100,120,3.64,3.96,7,2,3.96
102,120,1.99,2.64,9,0,2.27
43,120,2.73,3.69,22,11,3.08
88,120,2.39,3.21,5,7,2.8
74,120,3.79,3.96,3,13,4.0
99,120,2.61,3.32,6,3,2.95
77,120,2.5,2.76,17,3,2.77
97,120,3.56,3.76,10,1,3.76
72,120,3.69,3.71,16,5,3.87
45,120,2.36,3.2,13,16,2.81
44,120,3.42,3.75,27,7,3.53
107,120,2.94,3.52,0,4,3.19
61,120,1.93,2.01,7,15,2.17
93,120,1.83,2.5,3,7,2.09
53,120,1.91,3.86,30,2,2.78
34,120,2.75,3.6,4,26,3.36
84,120,3.75,3.99,18,0,3.91
107,120,3.56,3.66,2,3,3.67
71,120,1.55,2.66,12,8,2.04
97,120,3.76,3.78,8,2,3.77
79,120,1.87,2.52,5,10,2.0
70,120,1.54,2.56,19,4,1.98
114,120,1.72,3.75,3,0,2.84
99,120,2.1,3.25,1,6,2.55
101,120,2.73,2.91,5,3,2.85
65,120,2.81,3.91,23,3,3.43
92,120,2.97,3.33,0,9,3.05
32,120,2.54,2.67,30,9,2.56
79,120,1.73,1.77,16,3,1.81
74,120,2.26,3.21,21,1,2.88
108,120,3.46,3.69,6,0,3.7
84,120,3.61,3.68,9,6,3.49
77,120,2.96,3.0,18,2,2.81
58,120,2.72,3.35,7,16,3.19
41,120,2.67,3.6,20,13,3.33
56,120,3.86,3.95,15,11,3.83
31,120,2.89,3.46,40,3,3.21
94,120,2.86,3.52,7,4,3.01
112,120,2.59,3.45,1,2,2.87
82,120,1.5,1.66,5,9,1.76
68,120,3.12,3.35,14,8,3.14
49,120,2.85,2.89,35,0,2.83
108,120,3.43,3.56,4,1,3.45
53,120,3.64,3.71,30,2,3.84
100,120,3.16,3.49,5,3,3.4
99,120,1.8,2.18,3,5,1.88
101,120,1.67,2.8,2,5,2.4
57,120,3.73,3.83,24,5,3.83
115,120,2.81,2.96,2,0,2.9
113,120,3.67,3.85,3,0,3.74
57,120,3.64,3.78,9,15,3.87
79,120,2.03,3.55,20,0,2.7
30,120,3.7,3.91,16,19,3.93
57,120,1.85,3.79,24,5,3.01
78,120,3.62,3.89,6,10,3.89
65,120,3.64,3.88,17,7,3.93
46,120,3.81,3.89,29,5,3.72
97,120,3.45,3.6,2,6,3.39
94,120,2.92,3.86,7,4,3.32
115,120,2.14,3.86,2,0,2.9
38,120,2.88,3.02,27,9,2.79
108,120,1.72,2.34,6,0,1.95
115,120,2.52,3.09,2,0,2.73
85,120,2.21,2.89,11,4,2.42
104,120,3.07,3.34,5,2,3.24
46,120,3.58,3.87,8,19,3.6
93,120,3.37,3.96,10,2,3.53
79,120,3.21,3.51,8,8,3.54
74,120,1.71,2.5,21,1,2.2
115,120,1.93,2.19,1,1,2.05
106,120,3.03,3.71,1,4,3.33
90,120,2.28,2.65,1,9,2.34
76,120,2.89,3.38,17,3,3.01
101,120,2.3,2.32,0,6,2.45
101,120,1.85,2.07,6,2,2.05
114,120,2.22,2.6,0,2,2.42
39,120,2.45,3.37,25,10,2.76
56,120,3.27,3.65,30,1,3.34
65,120,2.79,3.67,0,18,3.35
79,120,2.96,3.25,14,4,3.12
114,120,2.8,3.48,1,1,3.08
85,120,3.04,3.37,1,11,3.38
103,120,2.97,3.1,1,5,2.98
55,120,2.07,3.9,32,0,2.94
100,120,3.54,3.68,2,5,3.49
32,120,3.03,3.31,6,25,3.34
41,120,3.48,3.6,3,24,3.69
67,120,3.3,3.72,2,16,3.38
86,120,2.12,3.09,15,1,2.8
49,120,2.96,3.04,8,18,2.84
56,120,2.26,3.43,27,3,2.77
108,120,3.55,3.63,3,2,3.52
88,120,2.1,3.53,16,0,2.97
37,120,3.24,3.3,26,10,3.3
34,120,3.67,3.79,26,11,3.59
47,120,2.71,3.92,3,22,3.51
63,120,3.56,3.9,19,6,3.73
105,120,1.88,2.11,4,2,1.89
62,120,1.84,2.04,20,6,1.86
37,120,3.69,3.82,31,7,3.77
69,120,1.84,2.32,19,4,2.26
76,120,2.72,3.71,4,12,3.19
32,120,2.23,3.37,12,21,2.83
37,120,1.59,2.29,5,24,1.98
43,120,3.2,3.41,11,18,3.47
33,120,1.94,3.82,42,1,3.02
41,120,2.13,3.9,27,8,3.06
87,120,3.78,3.89,12,3,3.64
103,120,2.72,3.07,8,0,2.7
71,120,1.71,2.35,21,2,1.96
115,120,2.31,3.78,1,1,3.17
110,120,1.85,3.25,0,3,2.48
110,120,1.55,3.81,5,0,2.79
94,120,3.19,3.4,10,2,3.21
93,120,1.76,3.53,9,3,2.73
106,120,3.26,3.81,4,2,3.49
64,120,3.72,3.87,26,1,3.84
100,120,3.8,3.86,1,6,3.74
87,120,3.38,3.42,7,6,3.4
71,120,2.14,2.83,0,16,2.45
35,120,1.6,3.23,42,0,2.25
56,120,2.3,3.84,5,18,3.25
79,120,3.16,3.4,7,9,3.39
47,120,2.25,3.09,17,13,2.57
57,120,3.89,3.92,21,7,3.8
64,120,2.63,3.86,8,13,3.13
66,120,3.07,3.81,22,3,3.28
93,120,3.23,3.86,7,4,3.42
32,120,1.61,3.15,11,22,2.52
73,120,2.18,2.19,13,7,2.07
115,120,2.66,3.7,2,0,3.15
112,120,3.37,3.9,4,0,3.75
81,120,3.4,3.9,6,9,3.69
104,120,3.73,3.76,0,5,3.67
41,120,1.84,2.03,29,7,1.99
98,120,1.87,2.81,8,2,2.39
56,120,2.82,3.64,12,13,3.31
31,120,2.46,3.9,43,1,3.27
91,120,3.62,3.9,5,6,3.84
30,120,1.53,2.02,39,4,1.94
79,120,2.44,3.17,2,12,2.88
112,120,1.85,2.95,1,2,2.55
32,120,3.33,3.73,0,29,3.55
80,120,3.08,3.86,9,7,3.29
84,120,2.59,3.44,0,12,2.91
74,120,1.55,2.94,18,3,2.4
78,120,2.77,2.85,4,11,2.81
102,120,1.98,2.68,4,3,2.44
65,120,3.72,3.94,6,14,3.82
71,120,2.7,3.73,21,2,3.26
93,120,3.05,3.26,10,2,3.21
98,120,1.84,3.5,6,3,2.59
84,120,3.59,3.64,1,11,3.75
59,120,2.39,2.77,21,6,2.49
91,120,1.95,2.56,11,2,2.38
78,120,3.48,3.99,3,12,3.9
77,120,3.55,3.75,6,10,3.65
95,120,3.25,3.9,12,0,3.5
78,120,2.94,3.19,19,1,3.01
47,120,3.83,3.94,35,1,3.86
51,120,3.39,3.95,28,4,3.63
79,120,2.91,4.0,17,2,3.62
109,120,2.56,3.53,2,2,3.19
30,120,3.12,3.95,13,21,3.71
69,120,2.18,2.88,7,12,2.48
90,120,1.55,2.16,1,9,1.83
89,120,1.69,2.4,11,3,2.01
104,120,3.25,3.79,0,5,3.65
44,120,3.3,3.91,35,2,3.73
104,120,3.72,3.97,0,5,3.79
81,120,2.13,3.06,19,0,2.49
52,120,2.83,3.2,5,19,3.16
91,120,2.86,3.67,14,0,3.43
75,120,3.54,3.85,19,2,3.68
53,120,3.85,3.97,18,10,3.87
60,120,2.23,2.72,7,15,2.53
36,120,3.63,3.92,30,8,3.89
51,120,2.47,2.49,9,17,2.34
76,120,2.59,3.37,20,1,3.17
73,120,2.76,2.91,7,11,2.65
65,120,3.12,3.22,6,14,3.22
67,120,3.86,3.98,1,17,3.94
38,120,2.42,2.49,12,19,2.52
30,120,3.23,3.52,1,29,3.18
58,120,2.08,3.12,5,17,2.66
81,120,2.95,2.95,19,0,2.99
62,120,3.67,3.8,26,2,3.55
106,120,2.55,3.55,7,0,2.96
97,120,1.88,3.36,5,4,2.51
75,120,2.07,2.74,16,4,2.53
54,120,2.09,3.0,12,14,2.67
62,120,1.52,2.59,21,5,2.09
68,120,3.2,3.5,9,11,3.5
85,120,2.15,2.98,5,8,2.5
58,120,3.02,3.27,11,13,3.28
93,120,2.15,2.4,7,4,2.34
99,120,1.71,3.68,4,4,2.88
35,120,2.02,2.33,41,1,1.98
35,120,3.15,3.66,12,20,3.49
64,120,3.1,3.31,4,16,3.15
91,120,3.28,3.87,10,3,3.53
113,120,2.02,3.0,0,2,2.64
56,120,1.54,3.41,15,11,2.31
103,120,2.79,2.81,5,2,2.77
71,120,3.86,3.98,17,5,3.99
37,120,3.29,3.75,31,7,3.52
52,120,3.9,3.95,28,4,3.86
45,120,2.04,2.85,13,16,2.38
71,120,2.85,3.64,11,9,3.25
96,120,1.79,2.22,3,6,2.19
113,120,3.74,3.98,3,0,4.0
63,120,1.54,2.59,7,14,2.03
65,120,3.66,3.77,15,8,3.56
68,120,3.61,3.75,17,6,3.5
59,120,2.9,3.09,24,4,2.92
62,120,2.42,3.76,11,12,3.23
92,120,3.1,3.47,14,0,3.28
96,120,2.47,3.53,10,1,3.07
60,120,3.45,3.65,15,10,3.64
38,120,3.47,3.55,26,10,3.35
83,120,3.62,3.66,14,3,3.82
76,120,1.87,2.95,7,10,2.3
115,120,3.34,3.66,2,0,3.46
69,120,2.44,3.06,3,15,2.88
109,120,1.56,3.72,1,3,2.54
91,120,3.68,3.73,14,0,3.56
102,120,2.69,3.81,7,1,3.26
65,120,2.92,3.92,11,11,3.58
100,120,1.88,1.98,7,2,2.1
57,120,2.2,2.56,7,16,2.45
52,120,2.51,3.02,11,15,2.59
36,120,1.79,2.01,36,4,1.75
55,120,2.71,3.84,29,2,3.2
33,120,3.36,3.49,15,19,3.6
59,120,2.67,3.97,15,10,3.35
53,120,3.1,3.56,23,7,3.27
94,120,3.71,3.72,4,6,3.69
82,120,2.16,2.64,11,5,2.39
108,120,1.55,3.5,1,3,2.33
95,120,2.26,2.66,2,7,2.3
57,120,3.51,3.75,25,4,3.76
70,120,1.51,2.69,22,2,2.23
98,120,2.7,2.72,9,1,2.91
106,120,3.44,3.48,1,4,3.58
79,120,2.43,3.26,14,4,2.93
105,120,1.93,3.73,4,2,2.73
89,120,2.86,3.58,0,10,3.37
81,120,2.9,3.04,13,4,3.03
34,120,2.4,3.86,22,14,3.06
77,120,3.31,3.91,9,8,3.73
68,120,2.74,3.69,12,9,3.13
41,120,2.28,2.96,12,18,2.73
90,120,2.09,3.29,7,5,2.61
43,120,1.86,3.84,13,17,2.76
50,120,3.06,3.23,32,2,3.32
36,120,2.28,3.7,19,15,3.13
96,120,3.05,3.76,0,8,3.38
39,120,2.95,3.22,16,16,3.14
97,120,3.28,3.83,11,0,3.51
68,120,2.58,3.37,5,14,2.94
80,120,3.68,3.98,0,13,3.99
37,120,1.95,2.4,22,13,2.01
80,120,1.87,3.96,9,7,2.99
66,120,2.16,2.54,4,15,2.49
115,120,3.68,3.88,1,1,3.63
96,120,3.57,3.8,10,1,3.5
80,120,1.56,3.32,17,2,2.44
36,120,2.77,2.96,42,0,2.73
46,120,2.59,2.96,1,24,2.84
49,120,2.19,2.96,16,13,2.53
98,120,3.73,3.85,3,5,3.88
30,120,3.81,3.98,21,16,3.77
106,120,3.3,3.72,4,2,3.32
46,120,3.16,3.52,35,1,3.31
37,120,3.01,3.47,35,4,3.28
73,120,2.68,3.53,22,1,3.28
75,120,2.06,3.76,22,0,2.75
115,120,3.45,3.56,2,0,3.67
50,120,3.38,3.9,30,3,3.81
92,120,1.52,1.71,6,5,1.58
48,120,2.37,3.53,36,0,2.77
80,120,1.67,1.91,12,5,1.89
34,120,3.72,3.75,2,27,3.82
85,120,2.16,2.37,17,0,2.34
92,120,1.75,3.65,11,2,2.61
92,120,1.78,2.16,6,5,2.02
56,120,3.38,3.92,0,21,3.45
107,120,3.49,3.77,6,0,3.63
110,120,3.05,3.92,0,3,3.43
61,120,3.02,3.6,22,5,3.2
74,120,2.07,2.71,3,13,2.22
104,120,2.23,3.02,6,1,2.48
61,120,3.21,3.76,1,19,3.4
67,120,2.2,2.35,13,9,2.35
101,120,1.83,3.11,0,6,2.53
51,120,2.44,3.24,15,13,2.97
84,120,1.91,2.4,9,6,2.31
31,120,1.64,1.69,1,29,1.5
50,120,1.64,2.15,17,12,1.85
69,120,3.13,3.36,1,16,3.42
84,120,2.64,3.35,6,8,2.88
54,120,1.52,3.41,9,16,2.45
53,120,3.86,3.87,15,12,3.68
54,120,2.68,3.87,27,4,3.32
113,120,2.69,3.75,2,1,3.39
91,120,2.12,2.79,4,7,2.54
97,120,2.01,2.59,7,3,2.14
53,120,2.54,3.19,3,20,2.67
35,120,3.75,3.84,33,6,3.98
37,120,2.05,3.32,38,2,2.69
61,120,3.28,3.76,8,14,3.72
105,120,1.61,3.35,3,3,2.36
68,120,1.84,3.51,6,13,2.59
103,120,2.13,3.53,8,0,2.85
41,120,1.94,2.56,24,10,2.26
40,120,3.17,3.31,16,16,3.12
55,120,3.28,3.36,7,17,3.32
90,120,2.5,3.62,1,9,2.95
96,120,2.67,3.58,12,0,3.05
32,120,2.24,3.58,20,16,2.71
79,120,3.57,3.82,19,1,3.69
72,120,2.65,3.47,12,8,2.95
86,120,3.69,3.96,5,8,3.95
55,120,2.88,3.75,5,18,3.2
56,120,2.94,2.94,18,9,3.02
87,120,3.39,3.41,0,11,3.59
42,120,3.89,3.96,34,3,3.98
84,120,2.6,2.71,9,6,2.5
57,120,3.36,3.45,1,20,3.46
50,120,3.61,3.96,23,8,3.72
96,120,2.53,3.71,12,0,3.23
107,120,3.37,3.53,6,0,3.58
30,120,3.02,3.09,13,21,3.11
56,120,2.9,3.2,21,7,2.92
85,120,2.21,3.47,8,6,2.86
61,120,2.79,3.67,8,14,3.09
38,120,3.32,3.59,26,10,3.38
38,120,2.86,2.9,9,21,3.05
108,120,1.6,1.64,6,0,1.7
75,120,2.33,3.18,16,4,2.69
38,120,3.43,3.87,8,22,3.46
109,120,3.14,3.71,5,0,3.36
103,120,3.27,3.64,4,3,3.42
86,120,2.16,3.62,6,7,2.76
112,120,2.59,3.78,1,2,3.12
48,120,3.81,3.95,10,17,3.8
75,120,3.86,3.99,3,13,3.79
103,120,3.54,3.99,2,4,3.86
62,120,3.9,3.95,23,4,3.75
61,120,1.5,3.03,20,6,2.2
71,120,3.48,3.51,14,7,3.33
76,120,3.18,3.44,7,10,3.42
58,120,2.76,3.31,11,13,3.13
74,120,2.61,2.65,2,14,2.58
98,120,3.41,3.93,11,0,3.77
68,120,1.72,3.17,18,5,2.27
84,120,2.74,3.98,0,12,3.55
36,120,2.06,2.47,9,22,2.44
94,120,1.57,2.25,5,5,1.85
108,120,1.76,3.88,3,2,2.65
70,120,3.08,3.79,13,8,3.39
59,120,1.87,3.48,9,14,2.7
44,120,2.16,3.34,15,15,2.7
73,120,3.73,3.84,2,14,3.66
75,120,2.21,2.49,18,3,2.48
87,120,1.66,3.95,10,4,2.74
103,120,3.3,3.53,7,1,3.51
104,120,2.45,3.32,0,5,2.74
115,120,1.57,1.73,2,0,1.85
65,120,3.4,3.6,8,13,3.38
50,120,3.18,3.88,8,18,3.65
45,120,1.67,2.26,7,20,2.0
30,120,3.3,3.85,45,0,3.69
31,120,3.41,3.9,4,27,3.47
92,120,3.28,3.42,14,0,3.46
39,120,3.81,3.93,4,24,3.77
69,120,3.64,3.73,21,3,3.8
44,120,1.85,3.11,15,15,2.48
110,120,3.5,3.83,0,3,3.61
68,120,1.53,1.66,0,17,1.6
72,120,3.52,3.97,7,11,3.7
112,120,2.32,3.95,4,0,3.05
